taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5230811	Vermivora chrysoptera (Linnaeus, 1766)	5230811	Vermivora chrysoptera (Linnaeus, 1766)	3796	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Vermivora	5230809	Vermivora chrysoptera	5230811	NT
2480242	Vanellus vanellus (Linnaeus, 1758)	2480242	Vanellus vanellus (Linnaeus, 1758)	85	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Vanellus	3242344	Vanellus vanellus	2480242	NT
2483606	Sayornis phoebe (Latham, 1790)	2483606	Sayornis phoebe (Latham, 1790)	206003	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Sayornis	2483605	Sayornis phoebe	2483606	LC
8249990	Ardenna grisea (Gmelin, 1789)	5739277	Puffinus griseus (Gmelin, 1789)	515	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Procellariiformes	7192755	Procellariidae	9339	Puffinus	5229335	Puffinus griseus	5739277	NT
2482012	Oceanodroma leucorhoa (Vieillot, 1818)	2482012	Oceanodroma leucorhoa (Vieillot, 1818)	52	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Procellariiformes	7192755	Hydrobatidae	5249	Oceanodroma	2481998	Oceanodroma leucorhoa	2482012	VU
9581157	Certhia americana Bonaparte, 1838	9581157	Certhia americana Bonaparte, 1838	66038	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Certhiidae	5227	Certhia	2487601	Certhia americana	9581157	LC
2484404	Molothrus aeneus (Wagler, 1829)	2484404	Molothrus aeneus (Wagler, 1829)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Icteridae	6176	Molothrus	2484385	Molothrus aeneus	2484404	LC
9809229	Sturnus vulgaris Linnaeus, 1758	9809229	Sturnus vulgaris Linnaeus, 1758	623066	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Sturnus	2489099	Sturnus vulgaris	9809229	LC
2481710	Tringa solitaria A.Wilson, 1813	2481710	Tringa solitaria A.Wilson, 1813	25136	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tringa	2481709	Tringa solitaria	2481710	LC
2482785	Empidonax flaviventris (W.M.Baird & S.F.Baird, 1843)	2482785	Empidonax flaviventris (W.M.Baird & S.F.Baird, 1843)	7683	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Empidonax	2482766	Empidonax flaviventris	2482785	LC
2480726	Pandion haliaetus (Linnaeus, 1758)	2480726	Pandion haliaetus (Linnaeus, 1758)	150558	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Pandionidae	4408414	Pandion	2480725	Pandion haliaetus	2480726	LC
8144830	Loxia leucoptera J.F.Gmelin, 1789	8144830	Loxia leucoptera J.F.Gmelin, 1789	2907	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Loxia	2494150	Loxia leucoptera	8144830	LC
5229230	Sterna paradisaea Pontoppidan, 1763	5229230	Sterna paradisaea Pontoppidan, 1763	368	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Sterna	2481227	Sterna paradisaea	5229230	LC
